Description,Category
Email is not working on phone...,Laptops/Desktop
outlook is not working...,Laptops/Desktop
Please reset the password Epm. 13000845,Laptops/Desktop
My Laptop is working too slow. Please arrange to u,Laptops/Desktop
Outlook not working,Network
Every morning at the time to on the locked screen ,Network
not able to login VPN (Cfg Ankleshwar),Laptops/Desktop
Asset Handover,Laptops/Desktop
Add users to Mail ID group: JK Officers Club Nimbahera,E-mail
password issue,Laptops/Desktop
need to transfer data of Tapan Sir...,Laptops/Desktop
Need to configure new laptop of Tapan Sir...,Laptops/Desktop
Password not working,Laptops/Desktop
Need to update OS of Tapan Sir's New Laptop...,Laptops/Desktop
Need to make inventory of IT assets 1st floor draw,Laptops/Desktop
Need make inventory of IT Assets (Store) 1st floor,Laptops/Desktop
password issue,Laptops/Desktop
Password not working,Laptops/Desktop
"Dear Sir,Many times outlook mail connectivity is",Network
cfg.satara Depot Password reset,Laptops/Desktop
vpn issue,Network
the connection of the wifi router is not active. t,Network
Mangalore depto Password reset,Network
Printerinstallation &  System hang issue,Laptops/Desktop
please Unlock Vpn Id : cfw.hisar,Network
Unable to login laptop.,Laptops/Desktop
Not able to change the password for mail ID:-AMO,Network
I want to connect my laptop with office Printerat,Printer
Zoom Call Id for undersigned as instructed by Shri,Laptops/Desktop
Unable to insert the signature,Network
outlook mail issue,Laptops/Desktop
Printersettings issue.,Printer
need to change password of cfg.kaithal,Laptops/Desktop
print out not coming,Printer
VPN error 1386  coming at salem depot (3117) m.no.,Network
Manager ( Kotputli Depot)Subject : Request for ac,Laptops/Desktop
New IP Phone Configuration Request,Other
Please reset  vpn mfa depot Cfw Gulbarga,Other
Please reset  vpn password of tirupathi depotID=,Network
Vendor password reset,Laptops/Desktop
"windows blue screen issue,data and pst in new laptop ",Other
Network issue ,Other
can not received mails in Outlook.,Other
amore.hr1@jkcement.com reset password,Laptops/Desktop
Online Project Folder *P* not able to access now. ,Network
Reset password MIS2.white,Laptops/Desktop
Need to change password...,Laptops/Desktop
Desktop slow working.,Laptops/Desktop
Requirement of a Data Card- Akash Sinha,Network
Kindly Reset VPN Password for Bellary Depot cfg.b,Network
add user in group,Laptops/Desktop
VPN ID create,Inquiry / Help
Printercartilage exhausted at WHR office so kindl,Printer
SAP connectivity issue for your reference find att,Network
Need to Reset Password.,Laptops/Desktop
"My laptop not working properly, working  too slow ",Laptops/Desktop
Outlook issue & System Hang issue,Laptops/Desktop
pw rerest of id vijay kumawat,Other
"Outlook not working,not receive any mail.",Laptops/Desktop
Internet & phones is not working at A-231...,Laptops/Desktop
Please change desktop monitor due to block spot av,Laptops/Desktop
FW: Gynaecologist visit reg,Inquiry / Help
Request to kindly Provide the Status of REQ0010137,Network
VPN NOT WORKING,Network
Kindly create signature for me as per company poli,E-mail
Account lock,Laptops/Desktop
Account Lock,Laptops/Desktop
mail and PR approval not opening,E-mail
Account Lock issue,Laptops/Desktop
VPN connection issue.,Laptops/Desktop
Password change,Laptops/Desktop
Test change,Network
IP Phone extension for my desk,Other Hardware
Printerinstallation at Fujairah freezone,Printer
vpn is not working please check,Network
Please reset tha Bhiwandi Depot password idCfw.Bh,Laptops/Desktop
please reset the password 13000332,E-mail
Mr. Vikram Singh Shaktawat performing as a Shift I,Application
Please Install SAP & VPN in Bareilly Depot on urge,Laptops/Desktop
Require Archive folder in email ID.,Network
laptop's keyboard is not working,Laptops/Desktop
data dongle is not working since it received pleas,Network
VPN CONNECTIVITY PROBLEM,Network
VPN not connecting. Pop box for password & token n,Network
Required VPN account,Network
VPN LOGIN FAILED AFTER RESETTING GGOOGLE AUTHENTIC,Network
NETWORK DETAILS HANDOVER TO MR RAJU AND ANKIT,Other
IT HANDOVER TO MR. RAJU LAL AND ANKIT RFID,Other
"Dear Sir,Please Migrate below mentioned email ID",Software
"Laptop not working since morning today ,local engi",Laptops/Desktop
please print 25 no. two set color of PPT shared wi,Printer
want to change the account for linking microsoft a,Network
Delete Mail ID,E-mail
VPN not working,Laptops/Desktop
trust relation issue while logging in and mouse trackpad not working properly.,Other
need to PM of Conference room,Laptops/Desktop
account lock,Other
need to PM VC room,Laptops/Desktop
Need to configure new laptop,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Need to configure new laptop,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
"Sir,In my SAP system language and fonts are not a",Laptops/Desktop
Laptop keyboard is not working...,Laptops/Desktop
need to change password,Laptops/Desktop
Please help,Software
Please reset vpn mfa  1001362 ( Because phone has been lost ),Other
vpn not working,Network
Replacement of key board under warranty,Laptops/Desktop
my  jkc portal password issue,Laptops/Desktop
Password is locked,Network
"Need an Access of Zoom, Efficient Elements and Thi",Laptops/Desktop
Internet not working in my PC,Network
Desktop working slow,Laptops/Desktop
dear sir kindly update the VPN googel authenticato,Network
Password need to change,Laptops/Desktop
password required to change,Laptops/Desktop
password change,Laptops/Desktop
Password reset,Laptops/Desktop
Outlook issue.,Laptops/Desktop
Account lock issue,Laptops/Desktop
Outlook issue,Laptops/Desktop
Mail issue.,Laptops/Desktop
Outlook issue.,Laptops/Desktop
Outlook connectivity issue.,Laptops/Desktop
"Outlook Connectivity issue, Hanging issue.",Laptops/Desktop
Outlook connectivity issue.,Laptops/Desktop
VPN Connection issue.,Laptops/Desktop
VPN Connection issue.,Laptops/Desktop
Wi-FI is not connecting...,Laptops/Desktop
teams not working,Laptops/Desktop
"Dear Sir,Please add Printer.",Printer
"Dear Sir,Please install Cannon Scanner Driver .",Printer
Unable to connect to VPN,Network
Request for VPN Password Reset of Mapusa Depot c,Network
"Dear SIr,Request for VPN Password Reset of Belga",Network
please unlock VPN id if Sitapura WH-1117,Laptops/Desktop
desktop is working very slow. please see to it.,Laptops/Desktop
VPN Blocked,Network
Mail configure in mobile,Other
"Dear SIr,Please reset vpn password for Gadag Dep",Network
"Dear Sir,Please reset password for Bijapur Depot",Network
gst software and windows bluen screen issue,Other
subject not showing in outlook sent items.,Other
zoom meeting error,Other
Depot password reset,Other
Kindly replace old non working wireless mouse with,Laptops/Desktop
data card not working.,Software
Reset my password,Laptops/Desktop
Need to configure email on mobile...,Laptops/Desktop
vpn issue,Network
Depot password reset,Other
Depot password reset,Other
Password reset,Other
reset VPN & SAP password 1581 (Deoli-Hub)SAP ID -,Laptops/Desktop
Adobe Reader not working,Laptops/Desktop
"Dear Team,Please organize to change IP Phone dis",Other Hardware
Data transfer of Tushar Singhal,Other Hardware
PC 0 space error,Laptops/Desktop
Strange Noise from Printer,Printer
You tube not working,Laptops/Desktop
Please reset the password Emp. 13000525,Laptops/Desktop
Outlook is not working...,Laptops/Desktop
VPN Password reset  - Depot,Other
outlook is not working...,Laptops/Desktop
System slowness issue,Other
"due to some technical error, our window was corrup",Laptops/Desktop
Sim card required,Software
Please reset password ,Other
VPN Password reset,Other
Sarnath Guest House  -  Cable TV issue,Other
Vendor id creation in auto plant,Software
communication error,Printer
"hI,unable to connect VPN",Network
outlook connectivity issue,Laptops/Desktop
Laptop charger is not working...,Laptops/Desktop
Microsoft outlook  issue,E-mail
configure,Printer
ip phone 14084 not working properly.,Other Hardware
"One Step, 1 Million+ Lives Impacted: A JK Super Cement Initiative",Inquiry / Help
new laptop setup,Laptops/Desktop
Data backup and profile management with software i,Laptops/Desktop
Mail is not working....,Laptops/Desktop
Need to change password of Cfg.rajpur,Laptops/Desktop
excel file issue,Laptops/Desktop
Vpn not connecting in Kurukshetra depot.,Laptops/Desktop
Not able to login,Laptops/Desktop
Not able to login....,Laptops/Desktop
Configure Printerin my laptop.,Laptops/Desktop
Need to upgrade Ram.,Laptops/Desktop
Please Reset My Mail Password.Ep: 1001796.,Laptops/Desktop
Laptop not getting power on.,Laptops/Desktop
"Pulse secure Id activation for Sachin Piliya , Emp ID (13001377)",Other
Please install PDF readerLocal Printerof account,Laptops/Desktop
desktop not working proper((slow) due to which fil,Laptops/Desktop
System is not working Properly my Mail id is not w,Network
kindly reset the password 13000584,Laptops/Desktop
PrinterHP CANON 1020 CONNECTION ISSUE.,Printer
AutoCAD 2022 installation,Software
VPN issue,Network
ip phone 14112 not working properly.,Other Hardware
laptop hangs,Laptops/Desktop
MY JKC Portal issue ...,Laptops/Desktop
adopter issue,Other Hardware
laptop running is very slow,Laptops/Desktop
"Error while connecting VPN Pulse secure, attached screenshot",Network
Today Suddenly we have lost our data Excel sheet o,Laptops/Desktop
In Laptop only C drive available. Require addition,Laptops/Desktop
Below mention telephone number was used by M/s Lax,Software
vpn password reset vpn id: Cfw.Okhla,Laptops/Desktop
java not installed,Software
outlook pst size issue,Laptops/Desktop
Reset passwordUser ID:-NTZH_SOUTH,SAP
SAP related bug issue,Network
LED location final for RFID,Other
Kindly arrange to download/upload Hindi language f,Laptops/Desktop
need to activate ms office.,Laptops/Desktop
please update software.,Laptops/Desktop
need to reset Password,Laptops/Desktop
windows need to activate,Laptops/Desktop
vpn not connecting,Laptops/Desktop
Daily IT check list padam tower...,Laptops/Desktop
Daily Infra  send,Laptops/Desktop
ID Disabled of Alok Kumar Kushwaha,Laptops/Desktop
ID disable of Muneesh Gaur,Laptops/Desktop
ID Disable of Abhimanyu Yadav,Laptops/Desktop
ID disable of Shivam Dixit,Laptops/Desktop
LWD Enable on Ravi HK,Laptops/Desktop
LWD enable of Sampath Kumara,Laptops/Desktop
LWD Enable Rahulkumar Lenkennavar,Laptops/Desktop
LWD Enable on ID of Tushar Singhal,Laptops/Desktop
"Dear Sir,As per instruction given by Head - HR &",Network
profile pic change,Other
pls change my profile pic,Other
Need to upgrade Ram.,Laptops/Desktop
Need HP Charger.,Laptops/Desktop
Need authenticate new phone...,Laptops/Desktop
Arrange Video Call at Dubai office for Senior Management,Other Hardware
Need reset VPN ID of CFG.Gurgaon...,Laptops/Desktop
Configuring IP Phone ,Other
Need to change password of cfg gurgaon...,Laptops/Desktop
New IP Phone Configuration,Other
Outlook is not working,Laptops/Desktop
Outlook password is not working,Laptops/Desktop
monitor issue,Laptops/Desktop
software installation,Laptops/Desktop
Audio is not working...,Laptops/Desktop
SCANNER NOT WORKING,Laptops/Desktop
Our depot incharge is facing the VPN connectivity ,Network
Desktop- System speed is very slow. Online -SAP a,Laptops/Desktop
The Printeris added but its not working,Printer
Guest Wi-fi Access to BCG team,Laptops/Desktop
Laptop is not powering on..,Laptops/Desktop
Need to start VC in conference room...,Laptops/Desktop
Getting system update message.,Laptops/Desktop
VPN NOT CONNECTING .. CONTACT NO. 9915232258,Network
IP Phone to be installed for Mr. Rajkumar Bansal (,Other Hardware
Password need to be changed for presidentmarketing,Laptops/Desktop
Email Sending Problem please do the needful,Network
Please arrange to create PST for Katni.jkcement.com,Network
Scanner connecting issue with system,Network
outlook is not working.,Laptops/Desktop
"Dear Team,Due to problem in mobile, please reset",Network
Asking for Admin number,Laptops/Desktop
Laptop working slow,Laptops/Desktop
system not booting,Laptops/Desktop
Please help to configure one drive in my system.,E-mail
system slow,Other Hardware
Antivirus not getting updated.,Antivirus
VPN unablel to connect,Network
Unable to upload the files on Govt. portal,Laptops/Desktop
Need to setup whole  profile.,Laptops/Desktop
please provide back up of Mr.Amit Bhatanagar mail ,Laptops/Desktop
SAP NOT WORKING,Network
SAP NOT WORKING,Network
SAP NOT WORKING,Network
SAP NOT WORKING,Network
SAP NOT WORKING,Network
SAP NOT WORKING,Network
SAP NOT WORKING,Network
Printertoner required,Printer
The SAP operator of Gurgaon depot has resigned and,Network
New Laptop Request,Other
"SAP , Saksham  &  Printerconnectivity not working",Laptops/Desktop
Request for PrinterAdd with my System,Printer
Very poor internet connectivity. Issues in the bas,Network
robo lab ip phone 14075 replacement work,Other Hardware
backup of Primavera software,Application
"Dear Team,Please find the details of New Warehous",Laptops/Desktop
not printing,Printer
Speaker is not working...,Laptops/Desktop
outlook  is not working,Laptops/Desktop
Mobile outlook mail issue,Laptops/Desktop
"Dear Sir,My Airtel data card is not functioning ",Software
Print out issue.,Laptops/Desktop
SAP ID password issue. Not able to open PR approval page,SAP
Outlook is not working...,Software
vpn not working,Network
I am not able to create New Digital Signature.,Software
Outlook Not Responding,E-mail
Our laptop in Gurgaon Depot has been damaged and w,SAP
first time account login setup,Laptops/Desktop
ip phone not working,Other Hardware
"Dear sir,P.F.A quotation regarding 8 GB RAM. Thi",Laptops/Desktop
WIFI NOT CONNECTED AT MY LAPTOP,Laptops/Desktop
Dear sirvpn not proper working 6:30 am today,Network
"Sir, there is no any activity perform in my syst",Laptops/Desktop
PrinterNOT WORKING I AM NOT ABLE TO PRINT,Printer
unbale to approve p.r,Laptops/Desktop
Not able to login to MY JKC portal,Inquiry / Help
Not able to take print...,Laptops/Desktop
Not being able to take print out.,Printer
Digital signature not working due to Java please d,Network
Vpn Connection issue,Laptops/Desktop
"Need to get my laptop update as its quite slow, an",Laptops/Desktop
My laptop is not configured with the printer. Requ,Printer
VPN connection issue,Laptops/Desktop
Birthday Greetings!,Inquiry / Help
1. Amendment of weight in White Clinker slip numbe,Laptops/Desktop
Not able to connect VPN...,Laptops/Desktop
SAP slow due to network issue,Network
Unable to access shared folder,Network
VPN PULSE IS NOT WORKING SINCE YESTERDAY. KiNLDY F,Network
There are some frequent error message appearing on,Laptops/Desktop
Please install scanner,Printer
"ticket no  INC0011147  is not solved yet , still a",Application
reset password of sap user id:CFSTH_BANG,Network
TMS request can't be cancelled,Other
TMS Guidance ,Other
TMS details updation.,Other
TMS Issue while filling,Other
TMS Portal guidance to Prakahar srivastava,Other
Win RAR and Adobe reader issue.,Other
Videos to be sent to Outside vendor issue,Other
IP Phone issue.,Other
installation of Accounting software,Software
Scanning Problem with photo copy printing machine ,Printer
Add PO And Line Item In RFID Auto plant,Other
need Printerinstallation,Laptops/Desktop
Printernot connected,Printer
Password Reset,Laptops/Desktop
I am facing this problem from last 4 - 5 days that,Laptops/Desktop
vpn password reset.,Laptops/Desktop
myjkc portal is not opening,Network
Need to change password of Cfg Sadwa,Laptops/Desktop
Teams not working properly,Laptops/Desktop
I'm not able to change the expiring password. You ,Laptops/Desktop
please reset my password Emp : 13001125,Laptops/Desktop
install sap please,Laptops/Desktop
myjkc link not working,Application
Old laptop given ,Other
mail back up ,Other
"Wi-Fi installation work at Sushila Nagar Guest House, Mangrol",Network
Please connect my laptop to printer,Printer
Need to setup VC...,Laptops/Desktop
Not able to join Zoom call,Laptops/Desktop
Request for password reset - VPN ,Other
Need to install & configure DSC...,Laptops/Desktop
Need to update Adobe version...,Laptops/Desktop
Need to install & configure DSC...,Laptops/Desktop
Need to update Adobe version...,Laptops/Desktop
Outlook Mail issue . kindly check mails are not go,Laptops/Desktop
Jio  data card not working for last 15-20 days.ch,Laptops/Desktop
Not able to take print,Laptops/Desktop
Not able to create new meeting,Software
Printeris not working...,Printer
PrinterConfiguration,Printer
Installation of Raspberry Pi at Parking Yard,Application
reduce pdf below 2 MB,Laptops/Desktop
Need to configure email on mobile.,Laptops/Desktop
need to change password...,Laptops/Desktop
DMP Printernot wroking properly,Other
Need to transfer all app from old phone to new pho,Laptops/Desktop
Need to conduct VC of HR team in conference room.,Laptops/Desktop
Need to connect VC of Rajneesh Kapoor Sir in board,Laptops/Desktop
Need to change password,Laptops/Desktop
Need to extend password as same has been expired..,Laptops/Desktop
outlook is not working,Laptops/Desktop
Printermaking sound please check,Printer
Email delivery error to bank,E-mail
Kindly help to link Printerwith my laptop.,Printer
My Digitial signature is not getting generated,Software
Please reset my password Emp  code 13000582,E-mail
Password not working Emp Code 1002303,E-mail
Reset VPN account for user id  : F1000062 as need to register in new phone,Network
Our depot incharge is facing the VPN connectivity ,Network
Google meet issue,Other
TMS guide,Other
Laptop Charging issue.,Laptops/Desktop
Printersharing issue,Other
Laptop Charging iuuse.,Laptops/Desktop
I'm not able to send mail by my mobile outlook.,Laptops/Desktop
System hanging issue,Laptops/Desktop
Pulse not connected . please resolve,Network
Facing Mailing issue.,Laptops/Desktop
Scanner & PrinterError,Printer
Hidden icons issue,Laptops/Desktop
frequently system has got hanged with working on  ,Laptops/Desktop
Mail  Configuration on Desktop & Mobile.,Laptops/Desktop
open RFID code from Nimbahera & Mangrol on top most  priority ,Other
Birthday Greetings!,Inquiry / Help
Laptop is taking APIPA through LAN in conference r,Network
Depot vpn password is not working.cfg_pcmc2,Laptops/Desktop
Mail is not working,E-mail
password issue,E-mail
Mobile no. change..,Laptops/Desktop
Dear Sir. Please add mac address of Mr.Sanjay Ti,Network
Password issue,Laptops/Desktop
vpn not working.,Laptops/Desktop
mobile mail issue,Laptops/Desktop
Cfw.neemuch password issue,Network
vpn not working,Network
password issue,Laptops/Desktop
Password issue,Laptops/Desktop
Need to configure MS teams on CDO sir's iPad...,Laptops/Desktop
Mail Archive,Laptops/Desktop
Mailbox of CDO sir is not syncing in Outlook,Laptops/Desktop
password not working,E-mail
please  reset vpn password of prathipadu  depot. ,Network
Printernot working color office printer,Printer
Not able to change password...,Laptops/Desktop
reset VPN MFA,Other
Printernot works,Printer
robo lab ip ph 14075 not working properly.,Other Hardware
Password Expired!,Laptops/Desktop
VPN not working in shahjahanpue depot. Vpn Failed,Network
unable to update bank details,Application
mailbox full issue,E-mail
AM UNABLE TO SELECT THE TRAVEL REQUESITION NO  IN ,Application
ip phone 14112 not working properly.,Other Hardware
VPN Connecting failed error. When entering 6 digit,Network
Please provide LAN Cable,Network
outlook not responding,E-mail
Configure laptop for New Joined Employee in Logistics,Laptops/Desktop
Need to configure new iPhone...,Laptops/Desktop
SAP/VPN installation required at Deoli Hub (1581) ,Laptops/Desktop
Outlook Preview issue.,Laptops/Desktop
Ms Office not Working.,Laptops/Desktop
image not opening.,Laptops/Desktop
Image not opening.,Network
3rd floor Printernot working...,Printer
vpn login issue.,Network
Please arrange to add following MAC to access JK_M,Network
new VPN ID creation,Network
Covid Advisory- Festival Season ,Inquiry / Help
outlook error,E-mail
"Please provide me data card (Dongle) ,The approval",Laptops/Desktop
Please amend truck number in slip serial number 50,Laptops/Desktop
My system password ahs expire and I'm trying to ch,Network
Need to configure official mailbox on iPad...,Laptops/Desktop
Printing issue,Printer
Add member in email id Groups,Other
Laptop is very slow as compared to previously give,Laptops/Desktop
"Dear sir,please  convert SAP ID (gmedical) to Dr",Laptops/Desktop
Desktop is working very slow,Laptops/Desktop
Some Keys of Key board is not working properly,Laptops/Desktop
system is not booting,Laptops/Desktop
Printerpart damage,Printer
Not able to login VPN...,Laptops/Desktop
Install EPM in system,Software
Dear teamAs per above subject I tried to connect,Network
vpn login issue Emp : 13000707 please reset tha v,Network
please issue Sap ID on the name of Dhanraj Choudha,Laptops/Desktop
From last 4 to 5 days I am facing this issue.Whil,Laptops/Desktop
tms  guidance.,Other
please issue /transfer SAP ID -gwpkg1 for my name ,Laptops/Desktop
Printernot connected to my laptop,Printer
Adobe reader not working. PDF file not able to ope,Laptops/Desktop
Not Able to unlockDomain user's account,Other
please reset the depot password cfg.gadhinglaj,Laptops/Desktop
PrinterNOT CONNCTED TO LAP TOP,Printer
Hindi Font in requirement to prepare SOPs in hindi,Laptops/Desktop
showing Printeris not connected,Printer
Printerinstallation,Printer
system performance issue,Laptops/Desktop
QC shared folder access to TH Sir,Shared File and Folder Access
Outlook Not Working,Laptops/Desktop
install java 7 in laptop,Software
Please reset the password for cfg.vita depot,Network
Outlook login issue.,Laptops/Desktop
Outlook Signature Issue,Laptops/Desktop
Printing Issue,Printer
Request you to change Outlook Profile Pic,Laptops/Desktop
outlook error. not able to send mails.,E-mail
Reset password,Laptops/Desktop
"Dear Lalendra Ji,Display driver has been stopped",Laptops/Desktop
Printernot clear at tilakhera mines printer,Printer
1. Update weight in slip number 50071 to Gross wt=,Laptops/Desktop
VPN LOGIN ISSUE. EMP CODE 1002399,Network
Laptop's screen is not working. Please help.,Laptops/Desktop
Internet is not working...,Laptops/Desktop
My System in Locuz Mail Id is Not Open and show error.,Other
Not able to login,Laptops/Desktop
SAP/VPN installation in Alwar depot (1121)Laptop. ,Laptops/Desktop
"Watch Now: Experience the magic of Mr. MaxX, this Diwali. #DiwaliMaxXWali",Inquiry / Help
Please unlock transporter User ID STTTC of Mangrol and confirm.,Other
I am not able to connect to VPN.,Network
This error shows after installing antivirus in San,Antivirus
Please amend weight in slip number 49845 to Gross ,Laptops/Desktop
"Dear Shubham,Due to problem in mobile, please re",Network
provide color print of project document,Printer
reset outlook pw,Laptops/Desktop
Mic Not Working.,Laptops/Desktop
Please install Printer,Printer
submission restriction on TA bill punching through system ISSUE IN TA BILLS,Inquiry / Help
Audio driver not working properly.,Laptops/Desktop
Two number Raspberry Pi configuration for Aligarh Announcement,Other
"Dear Team,Please arrange to recharge.Regards ",Network
Need to upgrade RAM...,Laptops/Desktop
"Dear SIr, Mysore Depot CFA has formatted his c",Network
Laptop working slow,Laptops/Desktop
New data card required,Software
Mines Weigh Bridge Net connectivity Problem.,Network
Email is not working on mobile...,Laptops/Desktop
ActiveTel ILL not working,Other
Google Authenticator reinstallation as phone hands,Network
not able to login...,Laptops/Desktop
The Ctrl & alt key not working,Laptops/Desktop
Printernote connected,Printer
Kindly reset the VPN account of below users.Use,Network
"Please activate VPN, Google Authenticator and SAP.",Network
please reset vpn mfa user detail. cfg.Mysoresyst,Network
Please synchronize / Map another data for scrap sale;,Other
outlook connectivity issue,Laptops/Desktop
"Stay tuned, only 4 hours to go for #DiwaliMaxXWali",Inquiry / Help
System booting slow..,Laptops/Desktop
SIM card required,Software
please format my old HDD.,Laptops/Desktop
System Configuration.,Laptops/Desktop
PrinterNot Working. Please check,Printer
System Login Issue,Laptops/Desktop
Blue Dump Error,Laptops/Desktop
Laptop working slow..,Laptops/Desktop
Need to format system.,Laptops/Desktop
Downloaded data from Umber is not opening. Please ,Laptops/Desktop
there is system formatted  at Mysore depot on yest,Laptops/Desktop
Please reset the vpn password at Loni depot cfg.L,Network
Wi-FI is not working properly.,Laptops/Desktop
Data backup required of alisha,Laptops/Desktop
Telephone is not working...,Laptops/Desktop
Laptop is working Slow,Laptops/Desktop
Request for Printerinstallation in my Laptop.,Printer
Common Folder Access for HR Panna,Shared File and Folder Access
"slow system and getting hanged from many days, wor",Laptops/Desktop
internet not working,Laptops/Desktop
Google Authenticator is not SET on my new phone du,Network
Having an issue in SAP LOGIN,SAP
please reset the SAP password. depot Name is : gok,SAP
Minutes of Meeting dtd 21-10-2021 with Logistics Deptt/Balasinor,Other
outlook connectivity issue.,Laptops/Desktop
Please block user ID of following transporter on temporary basis from Mangrol Plant,Software
Ishan ILL Shifted to Another Tower,Other
password issue,Laptops/Desktop
outlook connectivity issue.,Laptops/Desktop
Not able to login,Laptops/Desktop
outlook issue,Laptops/Desktop
Not able to login PDF file...,Laptops/Desktop
VPN connecting issue,Laptops/Desktop
kindly reset password,Laptops/Desktop
Order not show in auction for SVTSN user,Other
Need to change password,Laptops/Desktop
Can no open URL's,Other
Not able to login...,Laptops/Desktop
reset my ITSM pw,SAP
"account locked, unable to access SAP",Network
sap password locked,Other
"Dear sir,In the desktop system assigned to me the",Laptops/Desktop
account locked out hence unable to access SAP for ,Network
dear Sir. kindly reset the VPN id of Mudhaltiiia d,Network
Dear  Concern . VPN asking the password system pas,Network
Mail  password not working at mail,Laptops/Desktop
Company provided Airtel wifi data device is not wo,Software
HR Porta Cabin Network Problem,Other
TMS support,Application
Fiber ring deployment at Line 1,Network
Domain Password is not working,Laptops/Desktop
system performance issue,Laptops/Desktop
mail backup of Mr. DK Patel,E-mail
system is slow.,Laptops/Desktop
outlook not working,Laptops/Desktop
Laptop cpu fan not working,Laptops/Desktop
Outlook connectivity issue,Laptops/Desktop
VPN connecting issue,Laptops/Desktop
Adjust Time since it is showing time delay by 25 m,Laptops/Desktop
Ghaziabad VPN issues pls call him,Laptops/Desktop
SAP & VPN Need to be installed on Laptop. Please c,Laptops/Desktop
Not approved any thing in Work flow. Page is not o,Laptops/Desktop
password issue,Laptops/Desktop
Microsoft office 2013 is not working properly,Software
need to change password,Laptops/Desktop
Please reset SAP password immediately for followin,Network
Vpn Not Working,Laptops/Desktop
Survey Coordinator <surveycoordinator@lissen.io> l,Laptops/Desktop
HP 2600 Printerinstalltion and scan folder ,Other
need to change password of cfg.surnagar,Laptops/Desktop
new system provided,Other
HP designjet 2600 driver installation,Other
Password not working,Laptops/Desktop
VPN,Inquiry / Help
remote desktop access to clms system,Application
teams issue,Software
New Laptop Conf. Reequipment,Laptops/Desktop
VPN ID Create Request,Network
Autoplant RFID ID Create Request,Software
outlook pw error,E-mail
Not able to auto mail of GRN to concern user in movement type 103,Laptops/Desktop
network issue,Laptops/Desktop
MY JKC is  not working...,Laptops/Desktop
"Dear IT Support,I have raised a issue that my la",Laptops/Desktop
perticular website opening issue,Laptops/Desktop
Outlook is not responding...,Laptops/Desktop
Laptop Charger not working.,Laptops/Desktop
On Wifi the VPN is not getting connected due to wh,Network
Reset my mail password.emp.13001252,Laptops/Desktop
SAP Login or connectivity issue (network speed iss,Network
Mail ID add in HOD Panna Group,Other
Please reset the VPN password for CFW.SITAPUR,Network
Birthday Greetings,Inquiry / Help
Need to reset password...,Laptops/Desktop
Vehicle RJ09GB8311 is loaded but the system is showing TW tolerance failed. ,Software
PDF reader not working properly.,Laptops/Desktop
WB-1 NOT WORKING,Other
system slowing responce,Laptops/Desktop
my mail invoice showing full in every week. kindly,E-mail
reset the vpn id of sangola depot & reinstall it. ,Network
Reset the VPN id of Atpadi depot. id is cfg.atpadi,Network
Outlook not responding while moving the mail &  wh,Laptops/Desktop
VPN connectivity required to Run SAP during outsta,Network
Reset/Generate IT HELP DESK Password,SAP
vpn not connected,Network
test,Network
test,Network
VPN id for Cfg.Gurdaspur,Network
VPN id  create for Cfg.Pathankot,Network
Vpn ID create for Cfg.Taran,Network
VPN id Create for Cfg.Amritsar,Network
VPN VPN not working,Laptops/Desktop
Kindly reset the depot  VPN MFA ( id  cfg.Kannur ),Network
Kindly transfer the user ID -  from Mangrol Plant to Balasinor Plant.,Other
Connect VC with Dubai Office,Other Hardware
Old laptop follow UP,Laptops/Desktop
Computer keyboard are not working properly many ke,Laptops/Desktop
Email create for Ankush  Goyal,Laptops/Desktop
PrinterPag Setting Issue,Printer
New ID create for Anuj  Bhatnagar (13001794),Laptops/Desktop
not able to connect to VPN.screenshot is attached,Network
Outlook app showing Product activation failed.Kin,Laptops/Desktop
He watches over our homes and is always there when we need him. Stay tuned!,Inquiry / Help
need to reset password,Laptops/Desktop
"Dear Sir,I am unable to connect VPN as it shows ",Network
Please reset vpn mfa user detail mention below.Cf,Laptops/Desktop
PrinterNot Working,Printer
"Configure outlook,teams,one drive in mobile",E-mail
Old Laptop Follow up,Laptops/Desktop
not able to send PO through SAP,Laptops/Desktop
Please reset VPN password of Sarwa Wh  (1320 )User,Laptops/Desktop
Follow up old laptop,Laptops/Desktop
Infra report  send,Network
"Sir, Windows issues on Sarvesh Srivastava systems ",Laptops/Desktop
VPN Coonection issue,Laptops/Desktop
"SYSTEM RUNNING TOO MUCH SLOW, UNABLE TO RUN ADOBE ",Laptops/Desktop
Last working day Abeed Hussain,Laptops/Desktop
Scanner not working,Printer
New meeting room opening opening-MAULI,Inquiry / Help
New meeting room opening-MAULI,Inquiry / Help
VPN Request Form New Depot of Punjab,Inquiry / Help
VPN MFA Reset ,Other
Please arrange to install AutoCAD viewer in my PC,Laptops/Desktop
Please reset my password Employee code : 1000311 (,Laptops/Desktop
incorrect system date and time,Laptops/Desktop
Need to change password,Laptops/Desktop
TMS PORTAL LOGIN ISSUE,Other
Please reset VPN Password,Network
please reset VPN Password of sarwa depot (1320)Us,Network
Opening  ports on VPN,Other
need to change password,Laptops/Desktop
Need to change password,Laptops/Desktop
kindly  shift my pc behind to my sheet,Laptops/Desktop
If we want to  give good rating to the incident re,Security
Test email,Inquiry / Help
autocad installation ,Other
multiple pages scanning,Other
